CLAVE,GER,A0,A1,A2,A3,A4,A5,A6,B0,B1,C0,C1,C2,D0,KM,IF,E0,E1,E2,E3,E4,KV,,,
A3210,C,0,0,0,0,0,0,0,1,0,0,0,0,0,83,1.2,0,0,0,0,0,400,,,
A3220,OCC,0,0,0,0,0,0,0,1,0,1,0,0,0,150,1.33,0,0,0,0,0,400,,,
A3220,C,0,0,0,0,0,0,0,1,0,0,0,0,0,83,1.2,0,0,0,0,0,400,,,
A3250,SE,0,0,0,0,1,1,0,1,0,0,0,0,0,139,2.16,0,0,0,0,0,400,,,
A3920,C,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,400,,,
A3920,OR,0,0,0,0,0,0,0,1,0,0,0,1,1,66,4.55,0,0,0,0,0,400,,,
A3J20,OCC,0,0,0,0,0,0,0,2,0,0,1,0,0,180,1.67,0,0,0,0,0,400,,,
A3K50,OCC,0,0,0,0,0,0,0,0,0,0,3,0,0,147,2.04,0,0,0,0,0,400,,,
A3L20,OCC,0,0,0,0,0,0,0,2,0,0,1,0,0,60,5,0,0,0,0,0,400,,,
A3T10,OR,0,0,0,0,0,0,0,3,0,0,0,0,0,38,7.89,0,0,0,0,0,400,,,
A3T30,SE,0,0,0,0,0,0,0,0,0,0,0,1,2,193,1.55,0,0,0,0,0,400,,,
A3T90,SE,0,0,0,0,0,2,0,1,0,0,0,0,0,242,1.24,0,0,0,0,0,400,,,
A3U90,SE,0,0,0,0,0,0,2,1,0,0,0,0,0,107.08,2.8,0,0,0,0,0,400,,,
A3010,OCC,0,0,0,0,0,0,0,0,0,0,0,1,0,192,0.52,0,0,0,0,0,400,,,
A3010,C,0,0,0,0,0,0,0,1,0,0,0,0,0,83,1.2,0,0,0,0,0,400,,,
A3110,OCC,0,0,0,0,0,1,0,1,0,0,0,0,0,235,0.85,0,0,0,0,0,400,,,
A3140,NE,0,0,0,0,0,0,0,1,0,0,0,1,0,135,1.48,0,0,0,0,0,400,,,
A3200,OCC,0,0,0,0,0,0,0,2,0,0,0,0,0,237,0.84,0,0,0,0,0,400,,,
A3230,OCC,0,0,0,0,1,0,0,1,0,0,0,0,0,178,1.12,0,0,0,0,0,400,,,
A3240,OCC,0,0,0,0,0,1,0,1,0,0,0,0,0,207,0.97,0,0,0,0,0,400,,,
A3250,OCC,0,0,0,0,0,0,0,2,0,0,0,0,0,186,1.08,0,0,0,0,0,400,,,
A3260,OR,0,0,0,0,0,0,0,1,0,0,1,0,0,191,1.05,0,0,0,0,0,400,,,
A3290,C,0,0,0,0,0,0,0,2,0,0,0,0,0,122,1.64,0,0,0,0,0,400,,,
A3390,OR,0,0,0,0,0,0,0,2,0,0,0,0,0,135,1.48,0,0,0,0,0,400,,,
A3550,OCC,0,0,0,0,0,0,0,2,0,0,0,0,0,34,5.88,0,0,0,0,0,400,,,
A3560,OR,0,0,0,0,0,0,0,1,0,0,1,0,0,102,1.96,0,0,0,0,0,400,,,
A3650,OCC,0,0,0,0,0,0,1,0,0,0,1,0,0,60,3.33,0,0,0,0,0,400,,,
A3680,C,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,400,,,
A3680,OR,0,0,0,0,0,0,2,0,0,0,0,0,0,150,1.33,0,0,0,0,0,400,,,
A3740,NE,0,0,0,0,0,0,2,0,0,0,0,0,0,100,2,0,0,0,0,0,400,,,
A3780,C,0,0,0,0,0,0,0,0,0,0,0,0,0,104,0,0,0,0,0,0,400,,,
A3780,OR,0,0,0,0,0,1,1,0,0,0,0,0,0,150,1.33,0,0,0,0,0,400,,,
